ProductID,ProductName,Price,Stock,Description,ProductIcon,CategoryType
B00010, Wood 6 Seater Sofa Set,20000,35,Solid Sheesham Wood 6 Seater Sofa Set for Living Room ,https://m.media-amazon.com/images/I/51VODz1cuAS.jpg,0
B00011,Wood 2 Seater Sofa,15000,21,Shayar Art Solid Sheesham Wood 2 Seater Sofa with Cushion for Home ,https://m.media-amazon.com/images/I/51d1ByJUxJL.jpg,0
B00012,Wooden 5 Seater Sofa Set ,21000,13,S D Furniture Wooden 5 Seater Sofa Set for Living Room ,https://m.media-amazon.com/images/I/61O0MvzN75S._SL1000_.jpg,0
B00013,Orthopedic Memory Foam 6-Inch Single Size Mattress,8000,15,"Wakefit Orthopedic Memory Foam 6-Inch Single Size Mattress (75x35x6 Inches, Medium Firm, White) ",https://m.media-amazon.com/images/I/51-nCIbkqtL._SL1000_.jpg,0
B00014,Door Foldable Wardrobe,6000,16,"Amazon Brand - Solimo 2-Door Foldable Wardrobe, 5 Racks, Brown",https://m.media-amazon.com/images/I/91p-I01HXEL._SL1500_.jpg,0
B00015,Bathroom Mirror Led Illuminated Round Lighted,5000,21,"VENETIAN IMAGE Bathroom Mirror Led Illuminated Round Lighted Vanity Makeup Wall Mounted Lights Cosmetic with Touch Switch Demister Pad (Warm Light, 60 x 60 cm) ",https://m.media-amazon.com/images/I/61EG1mnE+XL._SL1000_.jpg,0
B00016,Multipurpose Table,3500,34,"Woodbuzz Duke Study Table, Laptop, Computer Table",https://m.media-amazon.com/images/I/6121+719nBL._SL1000_.jpg,0
B00017, Multi-Functional Ergonomic Gaming Chair,6500,12,"Green Soul Fiction Multi-Functional Ergonomic Gaming Chair with Premium & Soft PU Leather Fabric, Adjustable Neck & Lumbar Pillow, 4D Adjustable Armrests & Heavy Duty Metal Base (Black & Grey) ",https://m.media-amazon.com/images/I/71fhUMfoMHL._SL1500_.jpg,0
B00018,Wooden Intersecting Wall Shelves (Set of 8),4500,12,"Wooden Twist Rafuf Wooden Intersecting Wall Shelves (Set of 8) (Standard, Yellow & Black)",https://m.media-amazon.com/images/I/71PRojMfaBL._SL1500_.jpg,0
B00019,Floating Rectangular Intersecting Wall Mounted Shelf Rack Set of 6 ,2400,17,HOMEDESIGNMART MDF Floating Rectangular Intersecting Wall Mounted Shelf Rack Set of 6 & Hexagonal Home Decor Wall Shelf Set of 3 (Pink & White) ,https://m.media-amazon.com/images/I/31s7vgB9zXL.jpg,0
B00020,"BlushBees Living Box - Storage Boxes for Clothes,",1200,23,"BlushBees Living Box - Storage Boxes for Clothes, Saree Cover - 55 Litre, Pack of 4, Brown",https://m.media-amazon.com/images/I/91fzx4umWAL._SL1500_.jpg,1
B00021,Shoe Storage Boxes,1250,13,"Primalite Plastic Stackable SIDE FRONT Rectangular Shoe Storage Boxes , MEDIUM 10 Pack, Clear , upto UK: 9.5 , US: 10 ",https://m.media-amazon.com/images/I/81z0huRtp6S._SL1500_.jpg,1
B00022,Alfa 2 Plastic Cabinet for Storage,2540,31,Alfa 2 Plastic Cabinet for Storage | Space Organizer,https://m.media-amazon.com/images/I/71PVTDDxQzL._SL1200_.jpg,1
B00023, kids toy organizer,2145,21,"P YU® kids toy organizer with 3 Tiers, Smiling Design for Kids, Doll Playroom Decor, Plastic Activity Shelf, Move Around Mobile Box with Wheels",https://m.media-amazon.com/images/I/51+vUuhu-VS._SL1100_.jpg,1
B00024,Trend Lexi Plastic 5 Tier Multi-Purpose Storag,582,18,TNT The Next Trend Lexi Plastic 5 Tier Multi-Purpose Storage Organizer Kitchen Rack with Wheels (Grey) ,https://m.media-amazon.com/images/I/81VDUly+QUS._SL1500_.jpg,1
B00025, Big Fairy Kids Plastic Cupboard,584,19,Cello Novelty Big Fairy Kids Plastic Cupboard with 3 Shelves(Pink) ,https://m.media-amazon.com/images/I/71HIMNgX2DL._SL1500_.jpg,1
B00026,Keshav International 12 Door Plastic Sheet Wardrobe,1540,12,Keshav International 12 Door Plastic Sheet Wardrobe Storage Rack Clothes Organizer for Kids Living Room Small Accessories (Transparent Pink) ,https://m.media-amazon.com/images/I/71KHPY6QwML._SL1500_.jpg,1
B00027,Maison & Cuisine® Collapsible Wardrobe 12,3255,10,Maison & Cuisine® Collapsible Wardrobe 12 Shelves Armoire almari ,https://m.media-amazon.com/images/I/81fnsXvYuqL._SL1500_.jpg,1
B00028,Solimo Medusa Engineered Wood Wardrobe,5622,23,"Amazon Brand - Solimo Medusa Engineered Wood Wardrobe walnut finish ,3 Doors ",https://m.media-amazon.com/images/I/813bIeFxnQL._SL1500_.jpg,1
B00029, Engineered Wood Mini Bookcase ,2551,21,"Amazon Brand - Solimo Tucana Engineered Wood Mini Bookcase (Walnut Finish, Set of 3 Shelves) ",https://m.media-amazon.com/images/I/81A5wbb89bL._SL1500_.jpg,1
B00030,Wall Art,799,12,DSH Metal Wall Art For Living Room,https://m.media-amazon.com/images/I/816XA2z0sNL._SL1500_.jpg,2
B00031,Perpetual Paintings,1400,32,"Perpetual Paintings for Wall Decoration - Set Of 5, 3d Wall Painting for Living Room Large Size",https://m.media-amazon.com/images/I/61A3vSePIxL._SL1300_.jpg,2
B00032,TIED RIBBONS Mosaic Glass Tealight Candle Holder,354,42,TIED RIBBONS Mosaic Glass Tealight Candle Holder with Metal Stand for Side Dining Table Living Room Home Decoration Gift Item,https://m.media-amazon.com/images/I/71DvNrfCpvL._SL1500_.jpg,2
B00033,BECKON VENTURE,431,12,BECKON VENTURE artifacts for home décor human face with hand on his mouth big showpiece for home decoration,https://m.media-amazon.com/images/I/81EV-CEMUeL._SL1500_.jpg,2
B00034,The Purple Tree Tapered Glass Vase,542,28,"The Purple Tree Tapered Glass Vase for Home Decor Center Table Bedroom Living Room and Office Decoration ( Pack of 1, Amber)",https://m.media-amazon.com/images/I/416DD6dUt-L.jpg,2
B00035,Elemntl Ceramic Vase,2154,29,Elemntl Ceramic Vase with Artificial Orchid Flower Sticks | Flower Pots for Home Decoration,https://m.media-amazon.com/images/I/71IvWwhyspL._SL1500_.jpg,2
B00036,Ganesha Wall Hanging,245,21,Ganesha Wall Hanging for Entrance - Decorative Items for Home Living Room,https://m.media-amazon.com/images/I/71Z4VnVNmfL._SL1500_.jpg,2
B00037, Multicolour 3D Butterfly,648,23,JAAMSO ROYALS PVC Vinyl Multicolour 3D Butterfly Satin Paper Home Decor Wall Sticker (29.5 cm X 21 cm) ,https://m.media-amazon.com/images/I/411lKmGX-fL.jpg,2
B00038, Radha Krishna wall Painting,548,18,"KYARA ARTS Wood Framed, Radha Krishna wall Painting with frame multicolor 50 x 30 inch set of 5",https://m.media-amazon.com/images/I/81smQMkOwWL._SL1500_.jpg,2
B00039,Artificial Flower Wall Mat for Home,445,14,"ESTALLION Artificial Flower Wall Mat for Home, Office, Living Room, Garden Decoration (PPink) ",https://m.media-amazon.com/images/I/81nYCXbPp9S._SL1500_.jpg,2
B00040,Hanging Lamp Electric Antique,450,23,US DZIRE - THE BRAND OF LIFESTYLE 408 Hanging Lamp Electric Antique Wooden Ceiling Lights (with Gold Bulb),https://m.media-amazon.com/images/I/716LFcKrsxL._SL1500_.jpg,3
B00041,Metal Antique Cycle Shape Hanging Ceiling Pendant Light,545,25,FLAMPIA Metal Antique Cycle Shape Hanging Ceiling Pendant Light for Home Décor Living Room - Black Bulb not Included,https://m.media-amazon.com/images/I/41c9gNsUPbL._SL1000_.jpg,3
B00042, THE BRAND OF LIFESTYLE ,654,29,US DZIRE - THE BRAND OF LIFESTYLE 162 Hanging Lamp Electric Antique Wooden Ceiling Lights (with Gold Bulb) ,https://m.media-amazon.com/images/I/71NU-znjeXL._SL1500_.jpg,3
B00043,Ashtavinayak Enterprises Wooden Wall Ligh,4848,21,"Ashtavinayak Enterprises Wooden Wall Light/Wall Hanging Lamp for Bedroom, Living Room, Home Decor with Out Bulb (Brown)",https://m.media-amazon.com/images/I/71DOXU1wnQL._SL1100_.jpg,3
B00044,SINOMAN Doom Line Luster Glass Designer Cluster,545,23,"SINOMAN Doom Line Luster Glass Designer Cluster Hanging Chandelier Light for Dining Room, Bedroom, Living Room Decor (with ST64 Bulb, Cluster of 3)",https://m.media-amazon.com/images/I/614wJWMZJvL._SL1210_.jpg,3
B00045,US DZIRE - THE BRAND OF LIFESTYLE 161,548,27,US DZIRE - THE BRAND OF LIFESTYLE 161 Hanging Lamp Electric Antique Wooden Ceiling Light,https://m.media-amazon.com/images/I/81G5V4X0exL._SL1500_.jpg,3
B00046,Diamond Cluster Pendant ,746,12,Jackal® Diamond Cluster Pendant Light (???????? ???????? ????????) - Pack of 2 | ,https://m.media-amazon.com/images/I/31CQo-bIWmL.jpg,3
B00047,Holder Metal Cutted Hanging Ceiling Pendant Lamp with LED,842,15,MULTY RAYS E27 Holder Metal Cutted Hanging Ceiling Pendant Lamp with LED,https://m.media-amazon.com/images/I/81n9Ud-65kL._SL1500_.jpg,3
B00048,Shri Ram Light ,441,13,Shri Ram Light Hanging Height Light Fixture with Modern Pendant Round Light and 3 in 1 Color Changing Light,https://m.media-amazon.com/images/I/61-FKXniviL._SL1412_.jpg,3
B00049,"CARSTEN 3 Light In One Hanging Pendant Light For Ceiling, Beige, Home",545,17,"CARSTEN 3 Light In One Hanging Pendant Light For Ceiling, Beige, Home",https://m.media-amazon.com/images/I/71rDlsyQ75L._SL1217_.jpg,3
